 0.00000000e+00 5.55592874e+01
 2.00000000e-01 4.86244579e+01
 4.00000000e-01 4.66955289e+01
 6.00000000e-01 3.80053133e+01
 8.00000000e-01 2.86877323e+01
 1.00000000e+00 3.18143160e+01
 1.20000000e+00 2.88113443e+01
 1.40000000e+00 2.57145833e+01
 1.60000000e+00 1.59648334e+01
 1.80000000e+00 1.60573169e+01
 2.00000000e+00 1.38248418e+01
 2.20000000e+00 1.08044251e+01
 2.40000000e+00 1.16053017e+01
 2.60000000e+00 1.53470125e+01
 2.80000000e+00 1.16437759e+01
 3.00000000e+00 9.14856740e+00
 3.20000000e+00 1.03259890e+01
 3.40000000e+00 8.48644697e+00
 3.60000000e+00 4.58026183e+00
 3.80000000e+00 7.44768090e+00
 4.00000000e+00 9.95058814e+00
